file,url,boxes,is_primary,Is there a face?,Hard to spot?,Accident or design?,Emotion?,Person or creature?,Gender?,Amusing?,Common?,Flags,num_boxes,train,split
000022452.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000022452.jpg,"[[149, 104, 248, 232]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,No,Common,,1,False,2
000003118.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000003118.jpg,"[[240, 202, 83, 98]]",[True],Yes,Easy,Accident,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,True,1
000001975.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000001975.jpg,"[[85, 93, 209, 173]]",[True],Yes,Easy,Accident,Neutral,Animal,Neutral,No,Common,['Interesting'],1,False,2
000004265.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000004265.jpg,"[[236, 130, 72, 93]]",[True],Yes,Easy,Accident,Neutral,Animal,Neutral,No,Common,,1,True,3
000014112.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000014112.jpg,"[[166, 160, 183, 156]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,False,3
000021091.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021091.jpg,"[[66, 149, 389, 339]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,,Common,,1,True,2
000005654.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005654.jpg,"[[91, 193, 405, 319]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,True,0
000012503.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000012503.jpg,"[[235, 120, 139, 176]]",[True],Yes,Hard,Accident,Scared,Alien,Neutral,No,Uncommon,,1,True,3
000006157.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006157.jpg,"[[76.587, 110.626, 388.61, 282.238]]",[True],Yes,Hard,Accident,Neutral,Robot,Neutral,Somewhat,Uncommon,['Interesting'],1,False,3
000026195.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026195.jpg,"[[162, 212, 196, 189]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,False,2
000006038.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006038.jpg,"[[193, 216, 66, 91]]",[True],Yes,Easy,Accident,Neutral,Animal,Neutral,No,Common,['Interesting'],1,True,2
000004375.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000004375.jpg,"[[276, 171, 94, 87]]",[True],Yes,Medium,Accident,Scared,Alien,Neutral,Somewhat,Uncommon,,1,False,0
000024379.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024379.jpg,"[[89, 30, 341, 458]]",[True],Yes,Easy,Design,Happy,Human-Adult,Male,No,Common,,1,True,2
000011661.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000011661.jpg,"[[160, 178, 44, 52]]",[True],Yes,Medium,Accident,Neutral,Animal,Neutral,No,Uncommon,,1,True,1
000021339.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021339.jpg,"[[232, 147, 29, 37]]",[True],Yes,Easy,Accident,Neutral,Other,Neutral,No,Common,['Interesting'],1,True,1
000013590.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000013590.jpg,"[[143, 94, 193, 272]]",[True],Yes,Medium,Design,Happy,Other,Neutral,No,Common,,1,True,3
000018292.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018292.jpg,"[[297, 315, 78, 69], [164, 146, 103, 71]]","[False, True]",Several,Easy,Design,Happy,Human-Young,Neutral,No,Common,,2,True,3
000011574.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000011574.jpg,"[[64, 105, 71, 157]]",[True],Yes,Medium,Accident,Neutral,Human-Adult,Male,No,Uncommon,,1,True,3
000020158.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000020158.jpg,"[[133, 153, 242, 166]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,True,0
000008260.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000008260.jpg,"[[204, 72, 199, 196]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,No,Common,,1,True,0
000009558.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000009558.jpg,"[[112, 109, 266, 264]]",[True],Yes,Hard,Accident,Neutral,Robot,Neutral,No,Uncommon,,1,True,0
000015690.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015690.jpg,"[[144, 183, 183, 132]]",[True],Yes,Easy,Design,Happy,Cartoon,Neutral,No,Common,,1,False,3
000004703.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000004703.jpg,"[[261, 213, 164, 155]]",[True],Yes,Hard,Accident,Neutral,Human-Old,Male,No,Uncommon,,1,True,3
000008264.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000008264.jpg,"[[203, 191, 53, 62], [358, 222, 52, 55]]","[True, False]",Several,Easy,Design,Surprised,Animal,Neutral,No,Common,,2,True,1
000005145.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005145.jpg,"[[121, 38, 260, 206], [208, 268, 102, 82], [161, 395, 100, 90], [299.258, 334.006, 99.279, 109.916]]","[False, False, False, True]",Yes,Easy,Design,Happy,Human-Adult,Neutral,Somewhat,Common,['Interesting'],4,True,0
000026457.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026457.jpg,"[[218, 231, 119, 97], [144, 61, 119, 115], [275, 10, 82, 111]]","[True, False, False]",Several,Easy,Design,Neutral,Animal,Neutral,No,Common,,3,False,3
000005535.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005535.jpg,"[[163.812, 273.729, 108.498, 143.246]]",[True],Yes,Easy,Accident,Surprised,Robot,Neutral,Somewhat,Common,['Interesting'],1,True,1
000017355.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000017355.jpg,"[[102, 188, 244, 212]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,True,2
000000342.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000342.jpg,"[[201, 140, 149, 161]]",[True],Yes,Hard,Accident,Neutral,Other,Neutral,No,Uncommon,,1,True,0
000006864.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006864.jpg,"[[190, 215, 108, 89]]",[True],Yes,Easy,Accident,Surprised,Robot,Neutral,Somewhat,Somewhat,,1,True,1
000005724.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005724.jpg,"[[45, 123, 63, 100], [43, 260, 52, 100], [157, 244, 29, 64], [168.066, 117.717, 82.97, 123.391]]","[False, False, False, True]",Yes,Hard,Accident,Neutral,Human-Adult,Neutral,Somewhat,Uncommon,['Interesting'],4,True,3
000007687.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007687.jpg,"[[165.939, 197.85, 217.706, 171.613]]",[True],Yes,Easy,Design,Neutral,Robot,Neutral,No,Common,,1,True,1
000011419.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000011419.jpg,"[[91, 98, 351, 342]]",[True],Yes,Easy,Design,Happy,Human-Adult,Male,No,Somewhat,,1,True,2
000021389.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021389.jpg,"[[130, 83, 254, 223]]",[True],Yes,Easy,Design,Surprised,Cartoon,Neutral,No,Common,,1,True,0
000006877.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006877.jpg,"[[243.945, 263.091, 132.609, 101.408]]",[True],Yes,Hard,Accident,Neutral,Human-Adult,Female,Yes,Uncommon,['Interesting'],1,True,3
000005635.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005635.jpg,"[[153, 138, 237, 288]]",[True],Yes,Medium,Accident,Happy,Robot,Neutral,No,Common,,1,False,3
000006893.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006893.jpg,"[[107.789, 102.116, 192.887, 244.654]]",[True],Yes,Hard,Accident,Angry,Human-Adult,Male,Somewhat,Uncommon,['Interesting'],1,True,1
000007685.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007685.jpg,"[[170.194, 157.429, 112.044, 173.031]]",[True],Yes,Medium,Accident,Neutral,Human-Old,Male,Somewhat,Uncommon,['Interesting'],1,False,1
000007741.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007741.jpg,"[[161.684, 131.9, 206.36, 258.128]]",[True],Yes,Medium,Accident,Happy,Robot,Neutral,Yes,Uncommon,['Interesting'],1,True,3
000000361.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000361.jpg,"[[182, 163, 210, 173]]",[True],Yes,Easy,Accident,Neutral,Cartoon,Neutral,No,Common,['Interesting'],1,False,3
000006155.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006155.jpg,"[[302.803, 126.227, 199.978, 244.654]]",[True],Yes,Hard,Accident,Surprised,Human-Adult,Neutral,Somewhat,Uncommon,['Interesting'],1,False,1
000026729.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026729.jpg,"[[241, 176, 169, 186]]",[True],Yes,Medium,Accident,Neutral,Other,Male,No,Somewhat,,1,True,1
000003058.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000003058.jpg,"[[192, 88, 134, 171], [372, 88, 117, 186], [6, 97, 127, 168]]","[True, False, False]",Several,Easy,Design,Neutral,Robot,Male,No,Somewhat,,3,True,0
000010279.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000010279.jpg,"[[126, 122, 241, 162]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,No,Somewhat,,1,False,2
000025367.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000025367.jpg,"[[142, 128, 152, 195]]",[True],Yes,Hard,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,True,2
000024465.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024465.jpg,"[[95, 137, 324, 304]]",[True],Yes,Easy,Design,Happy,Animal,Neutral,No,Common,,1,False,3
000016311.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000016311.jpg,"[[91, 126, 269, 244]]",[True],Yes,Easy,Design,Happy,Human-Adult,Male,Yes,Uncommon,,1,True,3
000002561.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000002561.jpg,"[[207, 121, 198, 274]]",[True],Yes,Hard,Accident,Neutral,Human-Adult,Male,No,Uncommon,,1,True,1
000006941.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006941.jpg,"[[112.044, 75.878, 292.167, 286.493]]",[True],Yes,Medium,Accident,Neutral,Human-Adult,Neutral,Somewhat,Uncommon,['Interesting'],1,False,1
000007935.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007935.jpg,"[[203.524, 188.632, 100.698, 136.864]]",[True],Yes,Easy,Design,Happy,Human-Young,Male,Somewhat,Uncommon,['Interesting'],1,True,1
000001008.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000001008.jpg,"[[113, 138, 277, 304]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,False,1
000024961.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024961.jpg,"[[7, 182, 102, 133]]",[True],Yes,Hard,Accident,Scared,Alien,Neutral,No,Uncommon,,1,True,0
000027142.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000027142.jpg,"[[105, 218, 148, 129]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,No,Common,,1,True,3
000005960.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005960.jpg,"[[49.64, 100.698, 412.72, 323.368]]",[True],Yes,Easy,Accident,Neutral,Robot,Neutral,Somewhat,Uncommon,['Interesting'],1,True,1
000012179.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000012179.jpg,"[[93, 179, 23, 103], [261, 192, 25, 98], [169, 313, 20, 100], [355, 369, 19, 85], [133, 453, 17, 59], [235, 31, 20, 101]]","[False, False, False, False, False, True]",Several,Easy,Design,Neutral,Human-Adult,Male,No,Somewhat,['Interesting'],6,True,2
000003866.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000003866.jpg,"[[64, 110, 397, 238]]",[True],Yes,Medium,Accident,Neutral,Animal,Neutral,Yes,Uncommon,,1,False,1
000008240.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000008240.jpg,"[[347, 192, 114, 114]]",[True],Yes,Easy,Design,Happy,Other,Neutral,Somewhat,Common,,1,True,1
000022416.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000022416.jpg,"[[167, 135, 201, 137]]",[True],Yes,Hard,Accident,Neutral,Other,Neutral,Somewhat,,,1,False,3
000021660.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021660.jpg,"[[172, 91, 172, 209]]",[True],Yes,Easy,Design,Neutral,Animal,Male,No,Common,,1,True,0
000006483.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006483.jpg,"[[107.08, 82.97, 292.876, 373.008]]",[True],Yes,Easy,Design,Surprised,Human-Adult,Male,Somewhat,Common,['Interesting'],1,True,0
000016937.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000016937.jpg,"[[221, 213, 151, 86]]",[True],Yes,Easy,Accident,Neutral,Cartoon,Neutral,No,Common,['Interesting'],1,True,3
000002190.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000002190.jpg,"[[69, 89, 441, 409]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,False,1
000024481.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024481.jpg,"[[181, 189, 109, 106], [313, 166, 72, 70]]","[True, False]",Several,Hard,Accident,Happy,Alien,Neutral,No,Uncommon,,2,False,0
000017682.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000017682.jpg,"[[177, 76, 230, 271]]",[True],Yes,Medium,Accident,Neutral,Other,Neutral,No,Somewhat,,1,True,0
000014024.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000014024.jpg,"[[32, 132, 155, 148]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,No,Somewhat,,1,True,0
000015932.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015932.jpg,"[[49, 17, 419, 462]]",[True],Yes,Medium,Design,Surprised,Robot,Neutral,No,Somewhat,,1,False,2
000017013.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000017013.jpg,"[[177, 103, 189, 177], [28, 174, 87, 57]]","[True, False]",Several,Medium,Design,Neutral,Cartoon,Neutral,No,Common,,2,False,3
000023866.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000023866.jpg,"[[257, 124, 162, 127]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,No,Common,,1,False,0
000011216.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000011216.jpg,"[[240, 236, 210, 176]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,False,0
000006612.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006612.jpg,"[[97.152, 120.554, 364.499, 289.33]]",[True],Yes,Hard,Design,Neutral,Animal,Neutral,Somewhat,Uncommon,['Interesting'],1,True,1
000007599.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007599.jpg,"[[79.424, 89.352, 317.695, 320.532]]",[True],Yes,Hard,Accident,Surprised,Animal,Neutral,Somewhat,Uncommon,['Interesting'],1,False,0
000012597.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000012597.jpg,"[[198, 236, 115, 102]]",[True],Yes,Easy,Accident,Neutral,Cartoon,Neutral,No,Common,['Interesting'],1,False,3
000001831.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000001831.jpg,"[[204, 21, 142, 337]]",[True],Yes,Easy,Accident,Neutral,Animal,Neutral,No,Common,['Interesting'],1,True,2
000000877.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000877.jpg,"[[147, 98, 237, 261]]",[True],Yes,Hard,Accident,Neutral,Human-Old,Male,No,Uncommon,,1,False,1
000018420.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018420.jpg,"[[167, 168, 185, 182]]",[True],Yes,Medium,Accident,Happy,Other,Neutral,No,Somewhat,,1,False,1
000022427.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000022427.jpg,"[[199, 174, 105, 120]]",[True],Yes,Easy,Design,Happy,Cartoon,Male,No,Common,,1,True,1
000017745.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000017745.jpg,"[[174, 159, 203, 207]]",[True],Yes,Easy,Design,Happy,Human-Young,Male,No,Common,,1,True,1
000006897.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006897.jpg,"[[185.086, 169.485, 142.537, 153.883]]",[True],Yes,Easy,Design,Happy,Cartoon,Neutral,No,Common,,1,True,3
000006692.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006692.jpg,"[[113.463, 162.393, 174.448, 195.014]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,Yes,Uncommon,['Interesting'],1,True,3
000010935.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000010935.jpg,"[[197, 100, 134, 147]]",[True],Yes,Easy,Design,Happy,Human-Young,Female,No,Uncommon,['Interesting'],1,True,1
000007930.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007930.jpg,"[[131.9, 150.338, 257.419, 224.798]]",[True],Yes,Easy,Accident,Surprised,Human-Adult,Neutral,Somewhat,Common,,1,True,2
000013248.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000013248.jpg,"[[201, 156, 93, 81]]",[True],Yes,Hard,Accident,Neutral,Alien,Neutral,No,Somewhat,,1,True,1
000006295.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006295.jpg,"[[184, 114, 39, 47], [265, 103, 39, 48], [331, 96, 41, 47], [406, 98, 39, 47], [366, 168, 47, 54], [305, 192, 40, 41], [268, 254, 38, 46], [195, 258, 41, 47], [156, 198, 41, 51], [352, 255, 34, 49], [415, 252, 48, 51], [452, 175, 42, 52], [231.18, 182.958, 36.875, 48.931]]","[False, False, False, False, False, False, False, False, False, False, False, False, True]",Several,Easy,Design,Happy,Human-Adult,Male,Somewhat,Common,,13,True,0
000018975.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018975.jpg,"[[166, 11, 276, 327]]",[True],Yes,Easy,Design,Happy,Human-Adult,Female,No,Common,,1,True,1
000008867.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000008867.jpg,"[[4, 100, 508, 273]]",[True],Yes,Easy,Accident,Neutral,Robot,Neutral,Somewhat,Somewhat,,1,True,1
000006017.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006017.jpg,"[[105.662, 89.352, 306.349, 337.551]]",[True],Yes,Easy,Design,Angry,Human-Adult,Male,Somewhat,Uncommon,['Interesting'],1,True,0
000006328.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006328.jpg,"[[322, 361, 87, 69], [254, 205, 82, 55], [346, 167, 91, 43], [128, 182, 66, 36], [149, 208, 60, 43], [143, 250, 64, 52], [164, 279, 77, 67], [167, 344, 81, 75], [184, 424, 84, 82], [266.637, 270.892, 119.845, 63.114]]","[False, False, False, False, False, False, False, False, False, True]",Yes,Easy,Design,Happy,Animal,Neutral,Somewhat,Common,,10,False,0
000017722.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000017722.jpg,"[[225, 110, 93, 205], [328, 126, 174, 205], [54, 162, 113, 117]]","[False, False, True]",Several,Easy,Design,Scared,Cartoon,Neutral,No,Common,,3,True,3
000006191.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006191.jpg,"[[135, 198, 90, 164], [19.856, 148.92, 105.662, 232.598]]","[False, True]",Yes,Easy,Design,Disgusted,Human-Adult,Neutral,Yes,Common,,2,True,3
000028051.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000028051.jpg,"[[68, 195, 126, 154]]",[True],Yes,Easy,Design,Neutral,Human-Adult,Female,No,Common,['Interesting'],1,True,0
000015898.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015898.jpg,"[[125, 63, 193, 210]]",[True],Yes,Easy,Accident,Scared,Other,Neutral,No,Common,['Interesting'],1,True,1
000012338.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000012338.jpg,"[[41, 96, 213, 321], [261, 95, 227, 318]]","[False, True]",Several,Easy,Design,Angry,Animal,Male,No,Uncommon,['Interesting'],2,True,1
000006183.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006183.jpg,"[[113.463, 126.936, 280.82, 192.887]]",[True],Yes,Medium,Accident,Scared,Cartoon,Neutral,Somewhat,Uncommon,['Interesting'],1,False,1
000021934.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021934.jpg,"[[154, 228, 24, 36]]",[True],Yes,Hard,Accident,Neutral,Human-Adult,Male,No,Common,['NSFW'],1,True,0
000024372.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024372.jpg,"[[295, 201, 116, 160], [174, 237, 97, 133]]","[True, False]",Several,Hard,Accident,Scared,Alien,Neutral,No,Uncommon,,2,False,2
000022346.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000022346.jpg,"[[123, 253, 103, 102]]",[True],Yes,Easy,Accident,Neutral,Cartoon,Neutral,No,Common,['Interesting'],1,True,0
000016217.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000016217.jpg,"[[183, 85, 113, 80]]",[True],Yes,Medium,Accident,Neutral,Robot,Neutral,No,Somewhat,,1,True,0
000006717.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006717.jpg,"[[164.521, 132.609, 312.022, 177.286]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,Yes,Uncommon,['Interesting'],1,True,3
000006795.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006795.jpg,"[[142, 143, 267, 272]]",[True],Yes,Easy,Accident,Neutral,Animal,Neutral,No,Common,['Interesting'],1,True,1
000016547.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000016547.jpg,"[[165, 257, 11, 19], [320, 213, 27, 44]]","[False, True]",Several,Easy,Design,Neutral,Cartoon,Neutral,No,Common,['Interesting'],2,True,2
000024918.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024918.jpg,"[[235, 204, 42, 46], [160, 251, 50, 28], [0, 209, 69, 43], [228, 125, 88, 57]]","[True, False, False, False]",Several,Medium,Accident,Sad,Robot,Neutral,Yes,Uncommon,,4,True,2
000010394.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000010394.jpg,"[[210, 203, 101, 134]]",[True],Yes,Hard,Accident,Neutral,Animal,Neutral,No,Uncommon,,1,True,2
000001750.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000001750.jpg,"[[111, 103, 296, 241]]",[True],Yes,Easy,Accident,Neutral,Robot,Neutral,No,Somewhat,,1,False,1
000020390.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000020390.jpg,"[[324, 179, 70, 129]]",[True],Yes,Medium,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,True,0
000009674.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000009674.jpg,"[[89, 226, 105, 121]]",[True],Yes,Easy,Design,Angry,Human-Young,Male,No,Common,['Interesting'],1,True,1
000021914.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021914.jpg,"[[94, 165, 87, 161], [188, 124, 117, 145], [314, 150, 93, 117]]","[True, False, False]",Several,Easy,Design,Happy,Human-Adult,Male,Somewhat,Somewhat,,3,False,3
000021377.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021377.jpg,"[[326, 239, 109, 106], [73, 135, 102, 133]]","[False, True]",Several,Easy,Design,Neutral,Animal,Neutral,No,Uncommon,['Interesting'],2,True,2
000010259.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000010259.jpg,"[[160, 143, 227, 244]]",[True],Yes,Easy,Design,Happy,Cartoon,Male,No,Uncommon,['Interesting'],1,False,3
000013896.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000013896.jpg,"[[141, 83, 249, 179]]",[True],Yes,Medium,Accident,Happy,Other,Neutral,No,Uncommon,,1,False,3
000005196.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005196.jpg,"[[279.402, 102.825, 126.936, 114.172]]",[True],Yes,Medium,Accident,Sad,Robot,Neutral,Somewhat,Uncommon,['Interesting'],1,True,1
000005536.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005536.jpg,"[[189.341, 124.809, 176.576, 184.377]]",[True],Yes,Easy,Accident,Happy,Cartoon,Neutral,Yes,Common,['Interesting'],1,False,3
000015806.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015806.jpg,"[[183, 204, 57, 87], [236, 261, 59, 84]]","[True, False]",Several,Hard,Accident,Neutral,Human-Old,Male,No,Uncommon,,2,False,3
000010085.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000010085.jpg,"[[247, 211, 83, 89], [153, 207, 82, 107]]","[False, True]",Several,Easy,Design,Happy,Human-Adult,Neutral,Yes,Uncommon,,2,True,0
000025463.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000025463.jpg,"[[158, 12, 207, 437]]",[True],Yes,Medium,Accident,Neutral,Human-Adult,Male,No,Uncommon,,1,False,2
000001222.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000001222.jpg,"[[298, 167, 166, 269]]",[True],Yes,Easy,Accident,Neutral,Animal,Neutral,No,Common,['Interesting'],1,True,1
000008477.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000008477.jpg,"[[177, 207, 162, 186]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,No,Somewhat,,1,False,2
000005193.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005193.jpg,"[[77.296, 139.701, 85.806, 81.551]]",[True],Yes,Medium,Accident,Neutral,Animal,Neutral,Yes,Uncommon,['Interesting'],1,True,3
000004070.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000004070.jpg,"[[181, 240, 163, 112]]",[True],Yes,Hard,Accident,Neutral,Animal,Neutral,No,Uncommon,,1,True,0
